Topic,File,Sentence Number
25,15ecbplus,4
25,3ecbplus,2
25,3ecbplus,4
25,5ecbplus,1
25,5ecbplus,3
25,6ecbplus,2
25,6ecbplus,3
25,7ecbplus,1
25,8ecbplus,2
25,8ecbplus,3
25,9ecbplus,1
25,9ecbplus,3
26,10ecbplus,1
26,10ecbplus,3
26,11ecbplus,1
26,11ecbplus,5
26,1ecbplus,1
26,1ecbplus,6
26,2ecbplus,2
26,2ecbplus,5
26,3ecbplus,1
26,3ecbplus,6
26,3ecbplus,4
26,4ecbplus,2
26,4ecbplus,10
26,5ecbplus,1
26,6ecbplus,3
26,7ecbplus,1
26,7ecbplus,3
26,8ecbplus,1
26,8ecbplus,5
26,9ecbplus,1
26,9ecbplus,5
27,10ecbplus,2
27,10ecbplus,3
27,10ecbplus,4
27,11ecbplus,1
27,11ecbplus,3
27,1ecbplus,2
27,1ecbplus,3
27,2ecbplus,1
27,3ecbplus,1
27,3ecbplus,4
27,4ecbplus,1
27,4ecbplus,3
27,4ecbplus,4
27,5ecbplus,1
27,5ecbplus,3
27,6ecbplus,1
27,6ecbplus,2
27,6ecbplus,3
27,7ecbplus,1
27,7ecbplus,2
27,7ecbplus,4
27,8ecbplus,1
27,8ecbplus,4
27,8ecbplus,7
27,9ecbplus,1
27,9ecbplus,2
28,10ecbplus,1
28,10ecbplus,3
28,11ecbplus,1
28,11ecbplus,3
28,11ecbplus,5
28,12ecbplus,3
28,12ecbplus,5
28,12ecbplus,6
28,1ecbplus,1
28,1ecbplus,4
28,2ecbplus,1
28,2ecbplus,3
28,2ecbplus,4
28,3ecbplus,1
28,3ecbplus,3
28,4ecbplus,1
28,4ecbplus,3
28,4ecbplus,5
28,4ecbplus,6
28,5ecbplus,3
28,5ecbplus,4
28,5ecbplus,5
28,6ecbplus,3
28,6ecbplus,5
28,6ecbplus,6
28,7ecbplus,1
28,7ecbplus,4
28,7ecbplus,6
28,8ecbplus,1
28,8ecbplus,3
28,8ecbplus,5
28,9ecbplus,1
28,9ecbplus,3
28,9ecbplus,5
29,10ecbplus,1
29,11ecbplus,1
29,11ecbplus,4
29,11ecbplus,6
29,12ecbplus,1
29,12ecbplus,3
29,13ecbplus,1
29,13ecbplus,3
29,13ecbplus,4
29,1ecbplus,1
29,1ecbplus,5
29,1ecbplus,6
29,2ecbplus,1
29,2ecbplus,4
29,3ecbplus,1
29,3ecbplus,3
29,3ecbplus,5
29,4ecbplus,1
29,4ecbplus,3
29,5ecbplus,1
29,5ecbplus,5
29,5ecbplus,6
29,6ecbplus,1
29,6ecbplus,5
29,6ecbplus,7
29,6ecbplus,8
29,7ecbplus,1
29,7ecbplus,3
29,7ecbplus,6
29,8ecbplus,1
29,8ecbplus,3
29,8ecbplus,4
29,9ecbplus,1
29,9ecbplus,4
30,10ecbplus,1
30,10ecbplus,2
30,10ecbplus,4
30,11ecbplus,1
30,11ecbplus,4
30,11ecbplus,5
30,12ecbplus,3
30,13ecbplus,1
30,13ecbplus,2
30,13ecbplus,4
30,1ecbplus,1
30,1ecbplus,2
30,1ecbplus,4
30,2ecbplus,2
30,2ecbplus,4
30,3ecbplus,1
30,3ecbplus,3
30,4ecbplus,1
30,4ecbplus,3
30,4ecbplus,4
30,5ecbplus,1
30,5ecbplus,3
30,5ecbplus,5
30,6ecbplus,1
30,6ecbplus,2
30,6ecbplus,4
30,7ecbplus,6
30,8ecbplus,1
30,8ecbplus,4
30,8ecbplus,5
30,9ecbplus,6
31,10ecbplus,1
31,11ecbplus,1
31,11ecbplus,3
31,1ecbplus,2
31,1ecbplus,3
31,2ecbplus,1
31,2ecbplus,14
31,3ecbplus,1
31,4ecbplus,10
31,5ecbplus,3
31,5ecbplus,4
31,5ecbplus,7
31,6ecbplus,1
31,6ecbplus,3
31,6ecbplus,4
31,7ecbplus,1
31,7ecbplus,4
31,8ecbplus,11
31,9ecbplus,1
32,10ecbplus,1
32,10ecbplus,3
32,10ecbplus,4
32,11ecbplus,1
32,11ecbplus,3
32,11ecbplus,4
32,1ecbplus,1
32,1ecbplus,3
32,1ecbplus,4
32,2ecbplus,1
32,2ecbplus,3
32,2ecbplus,5
32,3ecbplus,1
32,3ecbplus,3
32,3ecbplus,4
32,4ecbplus,2
32,4ecbplus,3
32,4ecbplus,4
32,5ecbplus,1
32,5ecbplus,3
32,5ecbplus,4
32,6ecbplus,1
32,6ecbplus,3
32,6ecbplus,4
32,7ecbplus,1
32,7ecbplus,3
32,8ecbplus,1
32,8ecbplus,2
32,8ecbplus,6
32,9ecbplus,1
32,9ecbplus,3
32,9ecbplus,6
33,10ecbplus,1
33,10ecbplus,3
33,11ecbplus,1
33,11ecbplus,3
33,1ecbplus,1
33,1ecbplus,3
33,1ecbplus,8
33,2ecbplus,1
33,2ecbplus,4
33,3ecbplus,1
33,3ecbplus,8
33,4ecbplus,1
33,4ecbplus,2
33,5ecbplus,1
33,5ecbplus,2
33,5ecbplus,3
33,5ecbplus,6
33,5ecbplus,7
33,6ecbplus,1
33,6ecbplus,2
33,6ecbplus,9
33,7ecbplus,2
33,7ecbplus,3
33,7ecbplus,5
33,8ecbplus,1
33,8ecbplus,3
33,8ecbplus,5
33,8ecbplus,6
33,9ecbplus,1
33,9ecbplus,3
33,9ecbplus,4
34,10ecbplus,1
34,11ecbplus,1
34,11ecbplus,3
34,12ecbplus,1
34,12ecbplus,4
34,1ecbplus,4
34,1ecbplus,5
34,2ecbplus,1
34,2ecbplus,3
34,3ecbplus,3
34,4ecbplus,1
34,4ecbplus,3
34,5ecbplus,1
34,5ecbplus,4
34,6ecbplus,1
34,6ecbplus,3
34,7ecbplus,1
34,7ecbplus,4
34,8ecbplus,2
34,9ecbplus,1
34,9ecbplus,3
34,9ecbplus,5
35,10ecbplus,1
35,10ecbplus,3
35,10ecbplus,4
35,11ecbplus,1
35,11ecbplus,2
35,11ecbplus,4
35,1ecbplus,1
35,1ecbplus,3
35,1ecbplus,4
35,2ecbplus,1
35,2ecbplus,3
35,3ecbplus,1
35,4ecbplus,1
35,4ecbplus,4
35,5ecbplus,1
35,5ecbplus,3
35,6ecbplus,1
35,6ecbplus,4
35,6ecbplus,5
35,7ecbplus,1
35,7ecbplus,3
35,7ecbplus,4
35,8ecbplus,1
35,9ecbplus,4
36,10ecbplus,1
36,10ecbplus,11
36,11ecbplus,1
36,11ecbplus,4
36,1ecbplus,1
36,1ecbplus,3
36,1ecbplus,4
36,2ecbplus,1
36,2ecbplus,5
36,3ecbplus,1
36,3ecbplus,3
36,4ecbplus,1
36,4ecbplus,3
36,5ecbplus,2
36,5ecbplus,8
36,5ecbplus,9
36,6ecbplus,1
36,6ecbplus,3
36,8ecbplus,3
36,9ecbplus,1
36,9ecbplus,3
36,9ecbplus,6
37,10ecbplus,1
37,10ecbplus,4
37,11ecbplus,1
37,11ecbplus,2
37,11ecbplus,4
37,12ecbplus,1
37,12ecbplus,3
37,13ecbplus,3
37,13ecbplus,4
37,14ecbplus,1
37,14ecbplus,3
37,14ecbplus,4
37,1ecbplus,1
37,1ecbplus,3
37,2ecbplus,1
37,2ecbplus,3
37,3ecbplus,1
37,3ecbplus,3
37,4ecbplus,1
37,4ecbplus,3
37,5ecbplus,1
37,5ecbplus,3
37,6ecbplus,2
37,6ecbplus,3
37,6ecbplus,4
37,7ecbplus,2
37,7ecbplus,3
37,7ecbplus,4
37,8ecbplus,1
37,8ecbplus,3
37,8ecbplus,4
37,9ecbplus,1
37,9ecbplus,3
38,10ecbplus,1
38,10ecbplus,4
38,10ecbplus,5
38,11ecbplus,1
38,11ecbplus,3
38,11ecbplus,5
38,1ecbplus,1
38,1ecbplus,3
38,1ecbplus,4
38,2ecbplus,1
38,2ecbplus,4
38,2ecbplus,5
38,3ecbplus,1
38,3ecbplus,3
38,4ecbplus,1
38,4ecbplus,5
38,4ecbplus,7
38,5ecbplus,1
38,5ecbplus,4
38,5ecbplus,5
38,6ecbplus,1
38,6ecbplus,3
38,7ecbplus,2
38,7ecbplus,3
38,8ecbplus,1
38,8ecbplus,3
38,8ecbplus,4
38,9ecbplus,1
38,9ecbplus,3
38,9ecbplus,4
39,10ecbplus,1
39,10ecbplus,3
39,10ecbplus,4
39,11ecbplus,1
39,11ecbplus,3
39,11ecbplus,5
39,1ecbplus,2
39,1ecbplus,3
39,2ecbplus,1
39,2ecbplus,4
39,3ecbplus,1
39,3ecbplus,2
39,4ecbplus,1
39,5ecbplus,1
39,5ecbplus,4
39,6ecbplus,1
39,6ecbplus,4
39,7ecbplus,1
39,7ecbplus,4
39,8ecbplus,1
39,8ecbplus,3
39,9ecbplus,4
40,10ecbplus,3
40,11ecbplus,3
40,11ecbplus,10
40,1ecbplus,1
40,1ecbplus,3
40,2ecbplus,1
40,3ecbplus,1
40,3ecbplus,2
40,4ecbplus,1
40,4ecbplus,2
40,4ecbplus,4
40,5ecbplus,1
40,5ecbplus,3
40,6ecbplus,1
40,6ecbplus,3
40,7ecbplus,1
40,8ecbplus,3
40,9ecbplus,1
40,9ecbplus,4
41,10ecbplus,1
41,10ecbplus,2
41,10ecbplus,3
41,11ecbplus,1
41,11ecbplus,3
41,1ecbplus,1
41,1ecbplus,3
41,2ecbplus,1
41,2ecbplus,3
41,2ecbplus,4
41,3ecbplus,2
41,3ecbplus,3
41,4ecbplus,1
41,4ecbplus,2
41,4ecbplus,4
41,5ecbplus,1
41,5ecbplus,3
41,5ecbplus,7
41,6ecbplus,1
41,6ecbplus,9
41,6ecbplus,10
41,7ecbplus,1
41,7ecbplus,3
41,7ecbplus,4
41,8ecbplus,1
41,8ecbplus,3
41,8ecbplus,4
41,9ecbplus,1
41,9ecbplus,3
41,9ecbplus,6
42,10ecbplus,1
42,10ecbplus,3
42,10ecbplus,4
42,1ecbplus,1
42,1ecbplus,3
42,2ecbplus,1
42,2ecbplus,3
42,3ecbplus,1
42,3ecbplus,2
42,3ecbplus,19
42,4ecbplus,1
42,4ecbplus,4
42,4ecbplus,8
42,5ecbplus,1
42,5ecbplus,3
42,6ecbplus,1
42,6ecbplus,3
42,7ecbplus,1
42,7ecbplus,4
42,8ecbplus,1
42,8ecbplus,3
42,9ecbplus,1
42,9ecbplus,3
43,10ecbplus,1
43,11ecbplus,2
43,12ecbplus,1
43,13ecbplus,1
43,13ecbplus,4
43,13ecbplus,5
43,14ecbplus,1
43,14ecbplus,2
43,14ecbplus,5
43,15ecbplus,1
43,15ecbplus,17
43,1ecbplus,1
43,1ecbplus,6
43,2ecbplus,1
43,2ecbplus,4
43,3ecbplus,1
43,3ecbplus,15
43,4ecbplus,1
43,4ecbplus,5
43,5ecbplus,1
43,5ecbplus,3
43,6ecbplus,1
43,6ecbplus,7
43,7ecbplus,1
43,7ecbplus,3
43,8ecbplus,2
43,9ecbplus,3
43,9ecbplus,6
44,10ecbplus,1
44,10ecbplus,3
44,10ecbplus,4
44,11ecbplus,1
44,11ecbplus,4
44,11ecbplus,5
44,12ecbplus,2
44,12ecbplus,3
44,14ecbplus,2
44,14ecbplus,3
44,15ecbplus,1
44,15ecbplus,3
44,2ecbplus,1
44,2ecbplus,3
44,2ecbplus,5
44,3ecbplus,1
44,4ecbplus,1
44,4ecbplus,2
44,5ecbplus,1
44,5ecbplus,3
44,6ecbplus,1
44,6ecbplus,3
44,6ecbplus,4
44,6ecbplus,5
44,7ecbplus,1
44,7ecbplus,4
44,8ecbplus,2
44,8ecbplus,3
44,8ecbplus,5
45,10ecbplus,1
45,10ecbplus,3
45,10ecbplus,4
45,11ecbplus,1
45,11ecbplus,4
45,11ecbplus,5
45,12ecbplus,1
45,12ecbplus,2
45,12ecbplus,3
45,1ecbplus,2
45,1ecbplus,3
45,1ecbplus,4
45,2ecbplus,1
45,2ecbplus,3
45,2ecbplus,4
45,3ecbplus,1
45,3ecbplus,3
45,3ecbplus,4
45,4ecbplus,1
45,4ecbplus,2
45,4ecbplus,3
45,5ecbplus,1
45,5ecbplus,2
45,5ecbplus,5
45,6ecbplus,1
45,6ecbplus,3
45,6ecbplus,4
45,7ecbplus,1
45,7ecbplus,3
45,7ecbplus,4
45,8ecbplus,1
45,8ecbplus,3
45,8ecbplus,4
45,9ecbplus,1
45,9ecbplus,2
1,10ecb,0
1,10ecb,3
1,11ecb,0
1,11ecb,2
1,12ecb,1
1,13ecb,1
1,14ecb,0
1,14ecb,1
1,14ecb,2
1,14ecb,5
1,15ecb,0
1,15ecb,1
1,17ecb,0 
1,17ecb,1
1,17ecb,2
1,18ecb,0
1,19ecb,0
1,19ecb,1
1,19ecb,3
1,1ecb,1
1,1ecb,2
1,2ecb,0
1,2ecb,2
1,3ecb,1
1,4ecb,1
1,4ecb,2
1,5ecb,1
1,5ecb,2
1,5ecb,3
1,6ecb,0
1,6ecb,1
1,7ecb,0
1,7ecb,1
1,7ecb,2
1,7ecb,4
1,7ecb,5
1,8ecb,1
1,9ecb,3
1,9ecb,4
10,1ecb,0
10,2ecb,0
10,3ecb,0
10,4ecb,0
10,5ecb,2
10,6ecb,0
10,7ecb,2
10,8ecb,0
11,10ecb,0
11,11ecb,0
11,1ecb,0
11,2ecb,0
11,3ecb,0
11,4ecb,0
11,5ecb,0
11,6ecb,0
11,7ecb,0
11,8ecb,0
11,9ecb,0
12,10ecb,0
12,11ecb,0
12,12ecb,0
12,13ecb,0
12,14ecb,0
12,15ecb,0
12,16ecb,0
12,17ecb,0
12,18ecb,0
12,19ecb,0
12,19ecb,1
12,1ecb,0
12,2ecb,0
12,3ecb,0
12,4ecb,0
12,5ecb,0
12,6ecb,0
12,7ecb,0
12,8ecb,0
12,9ecb,0
13,10ecb,0
13,11ecb,0
13,12ecb,0
13,13ecb,0
13,14ecb,0
13,15ecb,0
13,16ecb,0
13,17ecb,0
13,18ecb,0
13,19ecb,0
13,1ecb,0
13,20ecb,0
13,21ecb,0
13,22ecb,0
13,2ecb,0
13,3ecb,0
13,4ecb,0
13,5ecb,0
13,6ecb,0
13,7ecb,0
13,8ecb,0
13,9ecb,0
14,10ecb,0
14,1ecb,0
14,2ecb,0
14,3ecb,0
14,4ecb,0
14,5ecb,2
14,6ecb,0
14,7ecb,0
14,8ecb,0
14,9ecb,0
16,1ecb,0
16,2ecb,0
16,3ecb,0
18,10ecb,0
18,11ecb,0
18,12ecb,0
18,13ecb,1
18,14ecb,0
18,14ecb,1
18,15ecb,0
18,16ecb,0
18,1ecb,0
18,2ecb,0
18,3ecb,0
18,3ecb,1
18,4ecb,0
18,5ecb,0
18,6ecb,0
18,6ecb,1
18,6ecb,19
18,7ecb,0
18,8ecb,0
18,9ecb,0
19,10ecb,2
19,11ecb,4
19,12ecb,1
19,14ecb,3
19,15ecb,2
19,1ecb,1
19,2ecb,1
19,3ecb,1
19,4ecb,11
19,5ecb,3
19,6ecb,5
19,7ecb,2
19,8ecb,2
19,9ecb,2
2,11ecb,0
2,1ecb,0
2,2ecb,4
2,3ecb,1
2,4ecb,2
2,5ecb,1
2,6ecb,1
2,7ecb,0
2,8ecb,0
2,9ecb,1
20,1ecb,1
20,2ecb,1
20,2ecb,2
20,3ecb,0
20,3ecb,1
20,4ecb,1 
20,5ecb,4
21,10ecb,1
21,11ecb,2
21,12ecb,1
21,1ecb,3
21,2ecb,1
21,3ecb,1
21,4ecb,1
21,5ecb,1
21,6ecb,2
21,6ecb,3
21,7ecb,1
21,8ecb,0
21,9ecb,1
22,1ecb,0
22,2ecb,0
22,3ecb,0
22,4ecb,0
22,5ecb,0
22,5ecb,1
22,6ecb,0
22,7ecb,0
22,8ecb,0
22,9ecb,0
23,10ecb,0
23,1ecb,0
23,2ecb,0
23,3ecb,0
23,4ecb,0
23,5ecb,0
23,6ecb,0
23,7ecb,0
23,8ecb,0
23,9ecb,0
24,10ecb,0
24,11ecb,0
24,12ecb,0
24,13ecb,0
